passengerTraffic,type,stationName,stationShortCode,stationUICCode,countryCode,longitude,latitude
true,STOPPING_POINT,Korso,KRS,19,FI,25.0787034259417,60.35103286991372
false,STATION,Korvensuo,KSU,1128,FI,25.21873145046394,60.58287377482461
false,STATION,Koskenkorva,KOS,274,FI,22.46178150868754,62.68907851431408
true,STATION,Kotka asema,KTA,532,FI,26.92984678109293,60.46450557258147
false,STATION,Kotka Hovinsaari,HOS,980,FI,26.92049106601594,60.48314891890547
false,STATION,Kotka Mussalo,MSS,557,FI,26.89872662982691,60.43191099938291
false,STATION,Kotka tavara,KTT,1130,FI,26.92359398972364,60.47893976347156
true,STATION,Kotkan satama,KTS,644,FI,26.94149491892379,60.46878501818759
false,STATION,Kotolahti,KOO,1329,FI,26.90189259567891,60.43623211122635
true,STATION,Kouvola asema,KV,480,FI,26.7057272764246,60.86590282989928
false,STATION,Kouvola lajittelu,KVLA,1132,FI,26.72479597626764,60.86871743906324
false,STATION,Kouvola Oikoraide,OIK,1133,FI,26.75956150939643,60.86855063761723
false,STATION,Kouvola tavara,KVT,1134,FI,26.7530572855772,60.87150163644022
false,STATION,Kovjoki,KOI,745,FI,22.69198932987034,63.52260800357343
false,STATION,Kruunupyy,KPY,311,FI,23.03369821640903,63.72306464679776
false,STATION,Kuivasjärvi,KIS,1137,FI,23.03605147926125,62.17530111188939
false,STATION,Kullasvaara,KUV,1320,FI,26.81118666088797,60.872574391658
true,STATION,Kuopio asema,KUO,408,FI,27.68123923073535,62.89831408501909
false,STATION,Kuopio tavara,KUOT,1139,FI,27.69896006224612,62.89888263355703
true,STATION,Kupittaa,KUT,126,FI,22.29653675868514,60.45036152483885
false,STATION,Kurkimäki,KRM,406,FI,27.51924593762334,62.77293048909505
false,STATION,Kuurila,KU,626,FI,23.99481945841525,61.13418338244374
false,STATION,Kuusankoski,KUK,537,FI,26.65739187305143,60.92132714225485
true,STOPPING_POINT,Kylänlahti,KYN,937,FI,29.75427666404452,63.36264224942422
true,STATION,Kymi,KY,534,FI,26.90821508725113,60.53927506908051
true,STOPPING_POINT,Kyminlinna,KLN,981,FI,26.89677619389412,60.50848822892929
false,STATION,Kyrö,KÖ,139,FI,22.74842452285232,60.70297189775447
false,STATION,Kytömaa,KYT,1111,FI,25.11046187442047,60.42583446765182
